Points,Name,Position
29,Erik Gustafsson,D
92,Carl Hagelin,LW
82,Ron Hainsey,D
19,Matt Halischuk,RW/LW
141,Taylor Hall,LW
47,Dan Hamhuis,D
103,Dougie Hamilton,D
87,Travis Hamonic,D
56,Noah Hanifin,D
82,Jannik Hansen,RW/LW
108,Martin Hanzal,C
123,Scott Hartnell,LW
89,Erik Haula,C/LW
84,Jimmy Hayes,RW
63,Kevin Hayes,RW/C
100,Victor Hedman,D
78,Darren Helm,C
74,Ales Hemsky,RW
79,Matt Hendricks,LW/RW
108,Adam Henrique,C/LW
120,Tomas Hertl,C/RW/LW
56,Thomas Hickey,D
19,Chris Higgins,LW
72,Niklas Hjalmarsson,D
19,Cody Hodgson,C
105,Mike Hoffman,LW
107,Nick Holden,D
62,Peter Holland,C
23,Korbinian Holzer,D
48,Shawn Horcoff,C/LW
146,Patric Hornqvist,RW
102,Bo Horvat,C
79,Marian Hossa,RW
49,Quinton Howden,C/LW
116,Jonathan Huberdeau,LW
77,Jiri Hudler,RW/LW
60,Matt Hunwick,D
59,Ben Hutton,D
102,Jarome Iginla,RW
52,Barret Jackman,D
110,Jaromir Jagr,RW
45,Mattias Janmark,C
65,Calle Jarnkrok,C
51,Dmitrij Jaskin,RW/LW
166,Boone Jenner,C/LW
126,Ryan Johansen,C
86,Marcus Johansson,LW/C
131,Erik Johnson,D
64,Jack Johnson,D
74,Tyler Johnson,C/RW
114,Jussi Jokinen,LW/C
46,Jyrki Jokipakka,D
70,David Jones,RW
81,Seth Jones,D
43,Josh Jooris,C/RW
16,Michal Jordan,D
46,Jacob Josefson,C/LW
142,Roman Josi,D
23,Tomas Jurco,RW/LW
109,Nazem Kadri,C
59,Sergey Kalinin,C
41,Steven Kampfer,D
110,Evander Kane,LW
185,Patrick Kane,RW
149,Erik Karlsson,D
64,Melker Karlsson,C/RW
51,William Karlsson,C
33,Zack Kassian,RW
85,Duncan Keith,D
23,Joonas Kemppainen,C
31,Tyler Kennedy,C/RW/LW
160,Ryan Kesler,C
104,Phil Kessel,RW
80,Alex Killorn,C/LW/RW
23,Jakub Kindl,D
37,Dwight King,LW/RW
37,Oscar Klefbom,D
102,Kevin Klein,D
93,John Klingberg,D
120,Mikko Koivu,C
128,Leo Komarov,C/LW/RW
155,Anze Kopitar,C
75,Lauri Korpikoski,LW/RW
117,Chris Kreider,LW
105,David Krejci,C
68,Niklas Kronwall,D
88,Torey Krug,D
21,Marcus Kruger,C
120,Nikita Kucherov,RW/LW
46,Tom Kuhnhackl,RW/LW
71,Nikolay Kulemin,LW/RW
81,Dmitry Kulikov,D
124,Chris Kunitz,LW
129,Evgeny Kuznetsov,C
117,Andrew Ladd,LW
56,Brooks Laich,C
31,Anton Lander,C
139,Gabriel Landeskog,LW
97,Dylan Larkin,C
93,Adam Larsson,D
61,Johan Larsson,LW/C
27,Michael Latta,C
54,Scott Laughton,C
61,Curtis Lazar,RW/C
52,Vincent Lecavalier,C
83,Nick Leddy,D
109,Anders Lee,LW/C
32,David Legwand,C/LW
64,Jori Lehtera,C
150,Kris Letang,D
64,Mark Letestu,C/RW
74,Trevor Lewis,C
79,John-Michael Liles,D
87,Oscar Lindberg,C
96,Elias Lindholm,C/RW
82,Hampus Lindholm,D
86,Bryan Little,C
77,Ben Lovejoy,D
74,Adam Lowry,C/LW
125,Milan Lucic,LW
45,Joffrey Lupul,LW/RW
67,Olli Maatta,D
29,Andrew MacDonald,D
75,Derek MacKenzie,C/LW
109,Nathan MacKinnon,C/RW
91,Evgeni Malkin,C/RW
36,Brad Malone,C/LW
40,Brandon Manning,D
72,Josh Manson,D
141,Brad Marchand,LW
47,Alexey Marchenko,D
45,Jonathan Marchessault,C/N
20,Martin Marincin,D
92,Andrei Markov,D
112,Patrick Marleau,LW/RW
78,Patrick Maroon,LW
115,Matt Martin,LW/RW
65,Paul Martin,D
115,Alec Martinez,D
57,Jordan Martinook,LW/C
56,Andreas Martinsen,LW
24,Brandon Mashinter,LW
18,Stefan Matteau,C/LW
73,Shawn Matthias,C/LW
23,Jamie McBain,D
68,Jake McCabe,D
28,Jared McCann,C
50,Jay McClement,C
69,Connor McDavid,C
96,Ryan McDonagh,D
115,Jamie McGinn,LW/RW
32,Dylan McIlrath,D
84,Cody McLeod,LW/RW
76,Brayden McNabb,D
69,Adam McQuaid,D
